

2	295	107	17	21	133.5	161

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	102	313	19	21	120.0	162
1	424	240	11	21	49.5	162
2	295	109	17	21	133.5	162

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	103	313	19	21	120.0	163
1	424	241	11	21	49.5	163
2	296	109	17	21	133.5	163

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	104	315	19	21	120.0	164
1	425	241	11	21	49.5	164
2	296	111	17	21	133.5	164

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	105	317	19	21	121.5	165
1	426	243	10	21	48.0	165
2	298	112	17	21	133.5	165

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	107	319	19	21	120.5	166
1	426	243	11	21	49.5	166
2	299	113	17	21	133.5	166

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	107	320	19	21	122.5	167
1	427	243	11	21	49.5	167
2	299	114	17	21	133.5	167

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	108	320	19	21	119.5	168
1	427	243	11	21	49.5	168
2	301	115	17	21	132.0	168

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	110	320	19	21	119.5	169
1	427	245	11	21	49.5	169
2	301	117	17	21	132.0	169

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	112	320	19	21	119.5	170
1	427	246	11	21	49.5	170
2	302	117	17	21	133.0	170

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	113	320	19	21	119.5	171
1	428	246	11	21	49.5	171
2	302	117	17	21	132.0	171

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	115	320	19	21	119.5	172
1	428	246	11	21	49.5	172
2	304	117	17	21	133.0	172

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	115	321	19	21	119.5	173
1	428	246	11	21	49.5	173
2	305	118	17	21	132.5	173

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	115	323	19	21	119.5	174
1	430	246	11	21	49.5	174
2	306	120	17	21	132.5	174

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	116	325	19	21	119.5	175
1	430	248	11	21	49.5	175
2	306	121	17	21	132.5	175

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	116	326	19	21	119.5	176
1	431	249	11	21	49.5	176
2	306	122	17	21	131.5	176

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	117	327	19	21	119.5	177
1	432	250	11	21	49.5	177
2	306	123	17	21	131.5	177

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	119	328	19	21	119.5	178
1	432	250	11	21	49.5	178
2	308	123	17	21	131.5	178

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	121	328	19	21	119.5	179
1	433	250	11	21	49.5	179
2	310	125	17	21	131.5	179

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	121	328	19	21	121.0	180
1	434	250	11	21	49.5	180
2	310	125	17	21	133.0	180

