

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	266	451	19	20	111.0	31
1	356	442	14	20	139.5	31
2	336	408	13	20	50.0	31
3	571	404	18	20	81.0	31
4	378	387	2	20	18.5	31
5	12	382	17	20	94.0	31
6	90	301	20	16	85.5	31
7	182	233	13	20	43.5	31
8	212	229	10	20	117.5	31
9	179	222	255	155	1214.0	31
9	229	203	13	20	58.0	31
10	250	127	18	20	217.5	31
11	444	103	17	20	52.0	31
12	89	48	16	20	73.0	31
13	403	41	12	16	79.0	31
14	563	36	19	20	124.5	31
15	614	34	16	20	184.0	31
16	126	11	20	20	112.0	31

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	267	451	19	20	111.0	32
1	355	444	16	21	145.0	32
2	336	409	13	20	50.0	32
3	573	404	18	20	76.5	32
4	380	388	2	20	18.5	32
5	12	383	14	20	88.0	32
6	90	304	20	14	49.0	32
7	473	261	3	3	2.5	32
7	476	257	3	3	2.5	32
7	184	233	13	20	43.5	32
8	212	229	10	20	117.5	32
9	179	222	255	155	1212.5	32
9	229	204	13	20	58.0	32
10	252	128	18	20	217.5	32
11	444	103	17	20	52.0	32
12	90	48	16	20	73.0	32
13	403	41	12	16	79.0	32
14	565	36	19	20	124.5	32
15	614	34	16	20	184.0	32
16	126	11	20	20	112.0	32

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	267	451	19	20	111.0	33
1	358	444	14	20	140.5	33
2	336	410	13	20	50.0	33
3	575	406	18	20	76.0	33
4	381	390	2	20	18.5	33
5	14	385	14	20	87.0	33
6	92	306	20	14	50.0	33
7	184	233	13	20	43.5	33
8	212	230	10	20	117.5	33
9	179	222	255	155	1209.0	33
9	230	204	13	20	58.0	33
10	254	130	18	20	217.5	33
11	446	103	17	20	52.0	33
12	90	48	16	20	73.0	33
13	403	41	12	16	79.0	33
14	565	36	19	20	124.5	33
15	614	35	16	20	184.0	33
16	128	12	20	20	112.0	33

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	269	453	19	20	111.0	34
