

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
3	134	395	17	21	179.0	39
4	548	324	19	21	96.0	39
5	217	249	15	20	142.5	39
6	328	247	4	8	10.0	39
6	325	234	10	8	23.0	39
6	48	219	15	21	229.0	39
7	250	212	17	20	132.0	39
8	336	200	15	21	134.5	39
9	81	110	12	21	63.5	39
10	116	96	15	21	143.0	39
11	92	56	15	21	112.0	39
12	288	30	15	21	83.0	39
13	74	29	17	21	94.5	39
14	578	26	13	21	146.0	39

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	237	447	20	17	73.5	40
1	77	440	12	21	74.0	40
2	437	406	10	20	90.5	40
3	135	395	17	21	179.0	40
4	548	325	19	21	96.0	40
5	219	249	15	20	142.5	40
6	328	247	4	9	12.0	40
6	325	235	10	7	21.0	40
6	49	219	15	21	229.0	40
7	252	213	17	21	135.0	40
8	336	201	15	21	133.5	40
9	81	110	12	21	63.5	40
10	117	98	15	21	142.0	40
11	92	57	15	21	112.0	40
12	288	30	15	21	82.0	40
13	74	30	17	21	94.5	40
14	580	26	13	21	146.0	40

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	237	449	20	17	73.5	41
1	78	440	12	21	74.0	41
2	437	406	10	20	90.5	41
3	135	395	17	21	179.0	41
4	548	326	19	21	96.0	41
5	219	249	15	20	142.5	41
6	328	247	4	11	15.0	41
6	325	237	10	4	15.5	41
6	49	219	15	21	226.0	41
7	252	214	17	21	135.0	41
8	336	201	15	21	133.5	41
9	81	112	12	21	63.5	41
10	119	99	15	21	142.0	41
11	92	58	15	21	113.0	41
12	290	30	15	21	80.0	41
13	74	30	17	21	93.0	41
14	580	26	13	21	146.0	41

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	237	449	20	17	73.5	42
1	78	441	12	21	74.0	42
2	437	408	10	20	90.5	42
3	135	397	17	21	179.0	42
4	550	328	19	21	94.0	42
5	219	251	15	20	142.5	42
6	328	247	5	12	17.0	42
6	325	238	10	4	13.0	42
6	49	219	15	21	229.0	42
7	252	216	17	21	135.0	42
8	337	201	15	21	134.5	42
9	83	112	12	21	63.5	42
10	120	99	15	21	142.0	42
11	92	59	15	21	113.0	42
12	76	31	17	21	93.0	42
13	291	30	15	21	81.0	42
14	581	26	13	21	146.0	42

INDEX	X_COORD	Y_COORD	WIDTH	HEIGHT	AREA	FRAME
0	237	449	20	17	73.5	43
1	79	441	12	21	74.0	43
2	437	409	10	20	90.5	43
3	135	398	17	21	179.0	43
4	551	328	19	21	96.0	43
5	220	253	15	20	142.5	43
6	328	247	5	12	17.0	43
6	325	238	10	4	13.0	43
6	49	219	15	21	229.0	43
7	253	218	17	21	134.0	43
8	338	203	15	21	134.5	43
9	83	112	12	21	63.5	43
10	120	99	15	21	142.0	43
11	92	59	15	21	113.0	43
12	77	32	17	21	93.0	43
